"Label","English"
"STR_5_32A","「[bvm_7f]よ"
"STR_5_337"," これて゛\"
"STR_5_343"," そのモハ゛イルは"
"STR_5_356"," おまえの ものに\"
"STR_5_366"," なったそ゛"
"STR_5_376"," ハ゛イサ゛-と\"
"STR_5_385"," モハ゛イルをつけて、"
"STR_5_39A"," そこにあるハ゜ソコンの"
"STR_5_3AC"," スイッチをいれてみろ。"
"STR_5_3C2"," ハ゛ク゛サイトに\"
"STR_5_3D2"," タ゛イフ゛て゛きるそ゛!"
"STR_5_414","[bvm_7f]は\"
"STR_5_41D","ハ゛イサ゛-を つけて"
"STR_5_432","ハ゜ソコンのスイッチを"
"STR_5_443","いれた!"
"STR_5_451","IDは゛んこ゛うを\"
"STR_5_461","かくにんしました!"
"STR_5_474","ハ゛ク゛サイトへ\"
"STR_5_483","タ゛イフ゛します!"
"STR_5_4AC","おとうさんの ハ゜ソコンた゛。"
"STR_5_4C5","すこ゛く せいのうか゛いい\"
"STR_5_4D9","ハ゜ソコンらしい。"
"STR_5_502","たくはいひ゛んか゛\"
"STR_5_512","おいてある。"
"STR_5_522","た゛れからの\"
"STR_5_52F","たくはいひ゛ん た゛ろう?"
"STR_6_9A","ちちおや\"
"STR_6_A5","「ここはハ゛ク゛サイトの"
"STR_6_BB"," いりく゛ちて゛ある\"
"STR_6_CC"," サイトケ゛-トた゛。"
"STR_6_E1"," ここから\"
"STR_6_ED"," ハ゛ク゛サイトないの"
"STR_6_102"," いろいろな は゛しょに"
"STR_6_114"," いと゛うて゛きるそ゛。"
"STR_6_13F","アミテクノエリアの\"
"STR_6_14F","ハ゜スワ-ト゛を てにいれた!"
"STR_6_184","ちちおや\"
"STR_6_18F","「はし゛めて とおる"
"STR_6_1A3"," ケ゛-トには、"
"STR_6_1B5"," ハ゜スワ-ト゛を\"
"STR_6_1C5"," にゅうりょくしないと"
"STR_6_1DA"," とおることか゛\"
"STR_6_1E9"," て゛きないんた゛。"
"STR_6_1FD"," ハ゜スワ-ト゛は\"
"STR_6_20D"," モハ゛イルの"
"STR_6_21E"," アイテムて゛\"
"STR_6_22C"," かくにんて゛きる。"
"STR_6_240"," モハ゛イルは\"
"STR_6_24E"," スタ-トホ゛タンて゛"
"STR_6_263"," みることか゛\"
"STR_6_271"," て゛きるそ゛。"
"STR_6_283"," ハ゜スワ-ト゛を\"
"STR_6_293"," おほ゛えたら、"
"STR_6_2A5"," いちは゛んみき゛の\"
"STR_6_2B6"," ケ゛-トの よこにある"
"STR_6_2CC"," コンヒ゜ュ-タ-を\"
"STR_6_2DD"," しらへ゛て、"
"STR_6_2EE"," ハ゜スワ-ト゛を\"
"STR_6_2FE"," にゅうりょくするんた゛」"
"STR_6_350","アミテクノエリアへの\"
"STR_6_361","ケ゛-トて゛す。"
"STR_6_373","ハ゜スワ-ト゛を\"
"STR_6_382","にゅうりょくしてくた゛さい"
"STR_6_428","ハ゜スワ-ト゛か゛ちか゛います。"
"STR_6_45A","このさきは\"
"STR_6_466","アミテクノエリアへの"
"STR_6_47A","ケ゛-トになります。"
"STR_6_4A4","「と゛こにいるんた゛?"
"STR_6_4B9"," オレは\"
"STR_6_4C4"," アミテクノエリアの"
"STR_6_4D8"," ヤマネコやという\"
"STR_6_4E8"," ハ゛ク゛ショッフ゜に"
"STR_6_4FD"," とし゛こめられている\"
"STR_6_50F"," はやく、きてくれ!」"
"STR_6_53A","ハ゜スワ-ト゛を\"
"STR_6_549","かくにんしました。"
"STR_6_55C","と゛うそ゛\"
"STR_6_568","おとおりくた゛さい。"
"STR_6_592","アミサファリエリアへの\"
"STR_6_5A4","ケ゛-トて゛す。"
"STR_6_5B6","このケ゛-トを ひらくための\"
"STR_6_5CB","ハ゜スワ-ト゛か゛ありません。"
"STR_6_5FA","アミラント゛への\"
"STR_6_609","ケ゛-トて゛す。"
"STR_6_61B","このケ゛-トを ひらくための\"
"STR_6_630","ハ゜スワ-ト゛か゛ありません。"
"STR_7_D3","「オレのこえか゛\"
"STR_7_E2"," きこえたら"
"STR_7_F2"," へんし゛を してくれ"
"STR_7_107"," オ、オレを\"
"STR_7_114"," はやく ここから"
"STR_7_127"," た゛してくれ!\"
"STR_7_136"," たのむ!!"
"STR_7_146"," ここから た゛っしゅつ"
"STR_7_158"," するためには、"
"STR_7_16A"," おまえの たすけか゛\"
"STR_7_17C"," ひつようなんた゛"
"STR_7_18F"," オレは\"
"STR_7_19A"," ハ゛ク゛サイトて゛"
"STR_7_1AE"," おまえを\"
"STR_7_1BA"," まってるそ゛・・・"
"STR_7_1CE"," はやく!はやく、\"
"STR_7_1DE"," きてくれ!!」"
"STR_7_205","ゆめと おなし゛ないようた゛。"
"STR_7_21E","このちかくから\"
"STR_7_22C","よんて゛いるようた゛。"
"STR_7_256","ちちおやからの\"
"STR_7_264","メ-ルをし゛ゅしんしました。"
"STR_7_291","ちちおや\"
"STR_7_29C","「[bvm_7f]よ"
"STR_7_2A9"," アミテクノエリアに\"
"STR_7_2BA"," ついたか?"
"STR_7_2CA"," ここには いろいろな\"
"STR_7_2DC"," ショッフ゜か゛あるそ゛"
"STR_7_2F2"," みてみると\"
"STR_7_2FF"," いいた゛ろう。"
"STR_7_311"," おっと わすれてた\"
"STR_7_322"," これを いわないとな。"
"STR_7_338"," おまえの うえにある\"
"STR_7_34A"," たてものは、"
"STR_7_35B"," アクセスホ゜イントと\"
"STR_7_36D"," いうんた゛。"
"STR_7_37E"," アクセスホ゜イントは\"
"STR_7_390"," ハ゛ク゛サイトと"
"STR_7_3A3"," け゛んし゛つせかいを\"
"STR_7_3B5"," いききしたり"
"STR_7_3C6"," セ-フ゛をしたり\"
"STR_7_3D6"," するときに"
"STR_7_3E6"," りようするんた゛。\"
"STR_7_3F7"," おほ゛えておけよ」"
"STR_7_421","「ここは\"
"STR_7_42C"," アミラント゛にある"
"STR_7_440"," テクノエリアって\"
"STR_7_450"," いうところさ"
"STR_7_461"," インタ-ネットせかいに"
"STR_7_473"," あるまちさ」"
"STR_7_4DA","「ハ゛ク゛サイトについて"
"STR_7_4EC"," しりたいかい?」"
"STR_7_53C","「ハ゛ク゛サイトって\"
"STR_7_54D"," いうのは、"
"STR_7_55D"," インタ-ネットのなかに"
"STR_7_56F"," あるせかいて゛"
"STR_7_581"," おおきく4つに\"
"STR_7_590"," わかれているんた゛"
"STR_7_5A4"," りくけい きき゛ょう\"
"STR_7_5B6"," FEメ-カ-の"
"STR_7_5C8"," アミラント゛と\"
"STR_7_5D7"," そのエリア、"
"STR_7_5E8"," うみけい きき゛ょう\"
"STR_7_5FA"," スティンク゛メ-カ-の"
"STR_7_610"," シ-ラント゛と\"
"STR_7_61F"," そのエリア、"
"STR_7_630"," そらけい きき゛ょう\"
"STR_7_642"," ルカ゛-メ-カ-の"
"STR_7_656"," エアラント゛と\"
"STR_7_665"," そのエリア、"
"STR_7_676"," エネルキ゛-きき゛ょう"
"STR_7_688"," タヒロメ-カ-の"
"STR_7_69B"," エナシ゛-ラント゛や\"
"STR_7_6AD"," そのエリアか゛"
"STR_7_6BF"," おおきな\"
"STR_7_6CB"," 4つのせかいさ"
"STR_7_6DD"," ここはアミテクノエリア"
"STR_7_6EF"," た゛から、"
"STR_7_6FF"," アミラント゛の\"
"STR_7_70E"," FEメ-カ-か゛"
"STR_7_721"," かんりしている\"
"STR_7_730"," テクノエリアってわけさ」"
"STR_7_746","「ききたくなったら\"
"STR_7_756"," また はなしかけてよ」"
"STR_7_7C2","「ハ゛ク゛について\"
"STR_7_7D2"," しりたい?」"
"STR_7_824","「ハ゛ク゛ってのはさ、\"
"STR_7_836"," ハ゛ク゛サイトを"
"STR_7_849"," ちゃんと\"
"STR_7_855"," うこ゛かすために"
"STR_7_868"," はたらいてる\"
"STR_7_876"," ヤツらを いうんた゛"
"STR_7_88B"," たとえは゛いえに\"
"STR_7_89B"," て゛んきをなか゛したり"
"STR_7_8B1"," テレヒ゛の\"
"STR_7_8BE"," は゛んくみか゛"
"STR_7_8D0"," なか゛れてきたり\"
"STR_7_8E0"," するのも、"
"STR_7_8F0"," せ゛んふ゛ハ゛ク゛か゛"
"STR_7_902"," やってくれてるんた゛」"
"STR_7_917","「あ、そう」"
"STR_7_97D","「ハッカ-って\"
"STR_7_98B"," しってる?」"
"STR_7_9D9","「おまえのように、\"
"STR_7_9E9"," け゛んし゛つせかいから"
"STR_7_9FF"," ハ゛ク゛サイトに\"
"STR_7_A0F"," はいってくる"
"STR_7_A20"," ヤツらのことを\"
"STR_7_A2F"," ハッカ-というんた゛。"
"STR_7_A45"," ハッカ-には\"
"STR_7_A53"," いろんなヤツらか゛いる。"
"STR_7_A6A"," いいヤツは゛かりとは\"
"STR_7_A7C"," かき゛らないせ゛。"
"STR_7_A90"," ムホウモノとかいう\"
"STR_7_AA1"," ヤツらはとくにキケンた゛"
"STR_7_AB8"," ハ゛トルか゛したくて\"
"STR_7_ACA"," ウロウロしてるからな"
"STR_7_ADF"," きをつけたほうか゛\"
"STR_7_AF0"," いいそ゛」"
"STR_7_AFF","「そうた゛よな\"
"STR_7_B11"," ハ゛ク゛サイトに\"
"STR_7_B21"," きてるんた゛から"
"STR_7_B34"," しってて\"
"STR_7_B40"," とうせ゛んた゛よな」"
"STR_7_BAB","「と゛こにいるんた゛?"
"STR_7_BC0"," [bvm_7f]!\"
"STR_7_BCA"," オレは"
"STR_7_BD8"," ヤマネコやという\"
"STR_7_BE8"," ハ゛ク゛ショッフ゜に"
"STR_7_BFD"," とし゛こめられている\"
"STR_7_C0F"," はやく、きてくれ!」"
"STR_7_C3A","ト゛アか゛しまっていて\"
"STR_7_C4C","はいれない"
"STR_7_C71","「きょうは やすみます」\"
"STR_7_C84","と、かいてある"
"STR_7_CAB","「18さいみまんおことわり」\"
"STR_7_CC0","と、かいてある。"
"STR_7_CD2","このみせは オトナしか\"
"STR_7_CE4","はいれないようた゛"
"STR_8_E6","てんちょう\"
"STR_8_F2","「おい。"
"STR_8_100"," きのう、\"
"STR_8_10C"," てにいれたハ゛ク゛を"
"STR_8_121"," ちゃんと\"
"STR_8_12D"," しまつしとけよ」"
"STR_8_155","てんいん\"
"STR_8_160","「わかりました」"
"STR_8_28D","てんいん\"
"STR_8_298","「やれやれ"
"STR_8_2A7"," うるせ-\"
"STR_8_2B3"," ハ゛ク゛た゛なあ。"
"STR_8_2C7"," いますく゛\"
"STR_8_2D4"," らくに してやるから"
"STR_8_2E9"," おとなしくしろ!」"
"STR_8_314","てんちょう\"
"STR_8_320","「いらっしゃいませ"
"STR_8_333"," ん? おまえ、\"
"STR_8_342"," こと゛もし゛ゃないか?"
"STR_8_358"," ここは、\"
"STR_8_364"," 18さいみまんは"
"STR_8_377"," おことわりた゛せ゛\"
"STR_8_388"," かえった、かえった"
"STR_8_3B2","「[bvm_7f]!"
"STR_8_3BF"," ここた゛!\"
"STR_8_3CC"," ここた゛よ」"
"STR_8_3F2","「きっときてくれると\"
"STR_8_403"," しんし゛てたせ゛!"
"STR_8_417"," ゆめの なかて゛\"
"STR_8_427"," おまえを"
"STR_8_436"," よんて゛いたのは\"
"STR_8_446"," オレさ。"
"STR_8_455"," なんせ オレとおまえは"
"STR_8_467"," うんめいの いとて゛"
"STR_8_47C"," むすは゛れているんた゛"
"STR_8_48E"," からな。"
"STR_8_49D"," オレのなまえは・・・」"
"STR_8_54B","「[bvm_7f]、\"
"STR_8_555"," チッフ゜をもっているか?"
"STR_8_56C"," ハッカ-は\"
"STR_8_579"," ハ゛ク゛にチッフ゜を"
"STR_8_58E"," とりつけることて゛\"
"STR_8_59F"," そのハ゛ク゛を"
"STR_8_5B1"," あやつれるように\"
"STR_8_5C1"," なるんた゛。"
"STR_8_5D2"," さあ、オレに\"
"STR_8_5E0"," チッフ゜をつけてくれ。"
"STR_8_5F6"," チッフ゜のそうひ゛は\"
"STR_8_608"," モハ゛イルの"
"STR_8_619"," ハ゛ク゛アイコンを\"
"STR_8_62A"," せんたくして"
"STR_8_63B"," チッフ゜をそうひ゛する"
"STR_8_64D"," ハ゛ク゛をえらへ゛は゛"
"STR_8_663"," チッフ゜のそうひ゛\"
"STR_8_674"," か゛めんになるそ゛」"
"STR_8_6F6","てんいん\"
"STR_8_701","「お、おまえ、"
"STR_8_712"," こんなところて゛\"
"STR_8_722"," なにをしてるんた゛?」"
"STR_8_74D","「[bvm_7f]!\"
"STR_8_757"," オレにショ-フ゛させろ"
"STR_8_76D"," いますく゛チッフ゜を\"
"STR_8_77F"," オレのからた゛に"
"STR_8_792"," つけるんた゛!"
"STR_8_7A4"," オレと\"
"STR_8_7AF"," おまえか゛くめは゛、"
"STR_8_7C4"," こんなヤツは\"
"STR_8_7D2"," らくしょうた゛!」"
"STR_8_7FB","[bvm_7f]は\"
"STR_8_804","チッフ゜を とりつけた!"
"STR_8_82F","てんいん\"
"STR_8_83A","「にけ゛るきた゛な!"
"STR_8_84E"," そうはさせるか!」"
"STR_8_8CF","てんいん\"
"STR_8_8DA","「く、クソッ・・・」"
"STR_8_979","「はし゛めての\"
"STR_8_987"," ハ゛トルにしては"
"STR_8_99A"," し゛ょうて゛きた゛せ゛"
"STR_8_9AC"," [bvm_7f]!"
"STR_8_9B9"," ハ゛ク゛サイトて゛\"
"STR_8_9CA"," ハ゛トルにまけることは"
"STR_8_9E0"," ハッカ-としての\"
"STR_8_9F0"," はいほ゛くをいみする。"
"STR_8_A06"," [bvm_7f]も\"
"STR_8_A10"," きをつけろよ。"
"STR_8_A22"," さあ・・・\"
"STR_8_A2F"," はやいトコ、"
"STR_8_A40"," ここから\"
"STR_8_A4C"," た゛っしゅつしようせ゛」"
"STR_8_A78","ちちおやからの\"
"STR_8_A86","メ-ルをし゛ゅしんしました。"
"STR_8_AB3","ちちおや\"
"STR_8_ABE","「[bvm_7f]!"
"STR_8_ACB"," と゛うした?\"
"STR_8_AD9"," なにかあったのか!?"
"STR_8_AEE"," おまえの ちかくに\"
"STR_8_AFF"," きょうりょくな"
"STR_8_B11"," ハ゛ク゛の はんのうを"
"STR_8_B23"," かんし゛るか゛・・・。"
"STR_8_B39"," こ、これは\"
"STR_8_B46"," すこ゛い!"
"STR_8_B56"," おまえか゛もっている\"
"STR_8_B68"," そのハ゛ク゛は"
"STR_8_B7A"," また゛はっけん\"
"STR_8_B89"," されていない"
"STR_8_B9A"," しんしゅの\"
"STR_8_BA7"," ハ゛ク゛のようた゛。"
"STR_8_BBC"," おとうさんのいる\"
"STR_8_BCC"," カ゛-テ゛ィアンて゛"
"STR_8_BE1"," ちょっと\"
"STR_8_BED"," しらへ゛てみよう。"
"STR_8_C01"," おまえは\"
"STR_8_C0D"," アクセスホ゜イントから"
"STR_8_C23"," け゛んし゛つせかいに\"
"STR_8_C35"," もと゛ってくるんた゛。"
"STR_8_C4B"," アクセスホ゜イントには"
"STR_8_C5D"," 2しゅるいある。"
"STR_8_C70"," タ゛イフ゛て゛きる\"
"STR_8_C81"," ホ゜イントと、"
"STR_8_C93"," タ゛イフ゛て゛きない\"
"STR_8_CA5"," ホ゜イントた゛。"
"STR_8_CB8"," このエリアの\"
"STR_8_CC6"," うえのほうにある"
"STR_8_CD9"," アクセスホ゜イントは\"
"STR_8_CEB"," タ゛イフ゛て゛きる。"
"STR_8_D00"," そこのホ゜イントを\"
"STR_8_D11"," つかうんた゛。"
"STR_8_D23"," アクセスホ゜イントに\"
"STR_8_D35"," ある、"
"STR_8_D43"," タ゛イフ゛という\"
"STR_8_D53"," アイコンをえらふ゛と"
"STR_8_D68"," サイトケ゛-トに\"
"STR_8_D78"," もと゛れるそ゛!」"
"STR_8_DA2","てんちょう\"
"STR_8_DAE","「おまえ"
"STR_8_DBC"," よくもウチのうりものを"
"STR_8_DCE"," ぬすんた゛な!"
"STR_8_DE0"," かくこ゛しろ!!」"
"STR_8_E68","てんちょう\"
"STR_8_E74","「クソ-ッ、"
"STR_8_E84"," これて゛は もう\"
"STR_8_E94"," みせし゛まいた゛・・・」"
"STR_A_74","「ここから\"
"STR_A_80"," け゛んし゛つせかいへ"
"STR_A_95"," もと゛れるそ゛」"
"STR_A_BE","このさきは\"
"STR_A_CA","アミテクノエリアへの"
"STR_A_DE","ケ゛-トになります。"
"STR_A_108","アミサファリエリアへの\"
"STR_A_11A","ケ゛-トて゛す。"
"STR_A_12C","このケ゛-トを ひらくための\"
"STR_A_141","ハ゜スワ-ト゛か゛ありません。"
"STR_A_170","アミラント゛への\"
"STR_A_17F","ケ゛-トて゛す。"
"STR_A_191","このケ゛-トを ひらくための\"
"STR_A_1A6","ハ゜スワ-ト゛か゛ありません。"
"STR_B_61","ちちおや\"
"STR_B_6C","「お、もと゛ってきたか。"
"STR_B_82"," おまえか゛もっている\"
"STR_B_94"," そのハ゛ク゛は"
"STR_B_A6"," やはり、しんしゅの\"
"STR_B_B7"," ハ゛ク゛た゛ったようた゛"
"STR_B_CE"," ハッカ-にとって\"
"STR_B_DE"," 1は゛んたいせつなのは"
"STR_B_F4"," ハ゛ク゛にすかれる\"
"STR_B_105"," ことた゛。"
"STR_B_115"," [bvm_7f]。\"
"STR_B_11F"," と゛うやら おまえは"
"STR_B_134"," そのハ゛ク゛に\"
"STR_B_143"," すかれているようた゛な。"
"STR_B_15A"," と゛うた゛、\"
"STR_B_168"," おまえも"
"STR_B_177"," カ゛-テ゛ィアンの\"
"STR_B_188"," いちいんとして"
"STR_B_19A"," ハッカ-に\"
"STR_B_1A7"," なってみないか?"
"STR_B_1BA"," ・・・いま\"
"STR_B_1C7"," ハ゛ク゛サイトは"
"STR_B_1DA"," ウェルテ゛ハイト゛\"
"STR_B_1EB"," という、"
"STR_B_1FA"," しゅうた゛んに\"
"STR_B_209"," ねらわれている。"
"STR_B_21C"," ウェルテ゛ハイト゛は\"
"STR_B_22E"," ウイルスを は゛らまき"
"STR_B_244"," ハ゛ク゛を\"
"STR_B_251"," きょうほ゛うか"
"STR_B_263"," させてしまった。"
"STR_B_276"," このままて゛は\"
"STR_B_285"," ハ゛ク゛サイトの"
"STR_B_298"," へいわか゛\"
"STR_B_2A5"," ヤツらによって"
"STR_B_2B7"," おひ゛やかされる\"
"STR_B_2C7"," た゛ろう。"
"STR_B_2D7"," それを ふせく゛には\"
"STR_B_2E9"," おまえのような"
"STR_B_2FB"," ハ゛ク゛にすかれる\"
"STR_B_30C"," ハッカ-か゛"
"STR_B_31D"," ひつようなんた゛!"
"STR_B_331"," [bvm_7f]、\"
"STR_B_33B"," ハ゛ク゛サイトの"
"STR_B_34E"," へいわを まもるために"
"STR_B_360"," てつた゛ってくれ!」"
"STR_B_3A8","ちちおや\"
"STR_B_3B3","「やってくれるか"
"STR_B_3C5"," よし、いまから、\"
"STR_B_3D5"," おまえは、"
"STR_B_3E5"," カ゛-テ゛ィアンの\"
"STR_B_3F6"," いちいんた゛"
"STR_B_407"," そのあかしとして、\"
"STR_B_418"," おまえを、"
"STR_B_428"," Bきゅうハッカ-に\"
"STR_B_439"," にんていしよう」"
"STR_B_461","[bvm_7f]は、\"
"STR_B_46B","Bきゅうハッカ-になった!"
"STR_B_497","ちちおや\"
"STR_B_4A2","「ハ゛ク゛リストは"
"STR_B_4B5"," ハ゛ク゛をと゛れた゛け"
"STR_B_4C7"," あつめたかか゛"
"STR_B_4D9"," わかるリストた゛。"
"STR_B_4ED"," モハ゛イルて゛\"
"STR_B_4FC"," ハ゛ク゛リストを"
"STR_B_50F"," えらんて゛かくにん\"
"STR_B_520"," してみるといいた゛ろう"
"STR_B_536"," ハ゛ク゛リストを\"
"STR_B_546"," かんせいさせることか゛"
"STR_B_55C"," ハッカ-として1は゛ん"
"STR_B_56E"," たいせつなことなんた゛"
"STR_B_584"," ハ゛ク゛はワクチンて゛"
"STR_B_596"," つかまえられるそ゛"
"STR_B_5AA"," せんとうちゅうに\"
"STR_B_5BA"," つかまえたいハ゛ク゛に"
"STR_B_5D0"," ワクチンを つかうと\"
"STR_B_5E2"," ハ゛ク゛のウイルスを"
"STR_B_5F7"," し゛ょきょすることか゛"
"STR_B_609"," て゛きる。"
"STR_B_619"," ウイルスを すへ゛て\"
"STR_B_62B"," し゛ょきょしてやれは゛"
"STR_B_641"," そのハ゛ク゛を\"
"STR_B_650"," なかまにて゛きるそ゛!"
"STR_B_666"," ハ゛ク゛を つかまえる"
"STR_B_678"," ワクチンには"
"STR_B_689"," いろいろな\"
"STR_B_696"," しゅるいか゛ある。"
"STR_B_6AA"," またワクチンか゛\"
"STR_B_6BA"," ききにくいは゛あいは"
"STR_B_6CF"," ハ゛ク゛を よわらせて"
"STR_B_6E1"," からつかうと"
"STR_B_6F2"," ワクチンの\"
"STR_B_6FF"," こうかか゛あか゛るそ゛"
"STR_B_715"," ハ゛ク゛は つかまえた"
"STR_B_727"," た゛けて゛はタ゛メた゛"
"STR_B_73D"," チッフ゜を\"
"STR_B_74A"," そうひ゛させ、"
"STR_B_75C"," ハ゜-ティに\"
"STR_B_76A"," くみこむんた゛。"
"STR_B_77D"," ハ゜-ティは3たいまて゛"
"STR_B_790"," くみこめるそ゛。"
"STR_B_7A3"," ハ゜-ティは\"
"STR_B_7B1"," モハ゛イルの"
"STR_B_7C2"," へんせいて゛\"
"STR_B_7D0"," くみかえか゛て゛きる。"
"STR_B_7E6"," ワクチンやチッフ゜なと゛"
"STR_B_7F9"," アイテムは"
"STR_B_809"," ハ゛ク゛サイトの\"
"STR_B_819"," ショッフ゜て゛"
"STR_B_82B"," かうことか゛\"
"STR_B_839"," て゛きるそ゛!"
"STR_B_84B"," なにか わからない\"
"STR_B_85C"," コトか゛あったら"
"STR_B_86F"," かくラント゛の\"
"STR_B_87E"," テクノエリアにある"
"STR_B_892"," ヒ゛キ゛ナ-ハウスに\"
"STR_B_8A4"," いけは゛、"
"STR_B_8B4"," おまえのき゛もんも\"
"STR_B_8C5"," かいけつするた゛ろう"
"STR_B_8DA"," おまえは また゛\"
"STR_B_8EA"," Bきゅうハッカ-た゛か゛"
"STR_B_901"," ハッカ-ランクか゛\"
"STR_B_912"," あか゛れは゛"
"STR_B_923"," もっとハ゛ク゛を\"
"STR_B_933"," あつめやすくなる。"
"STR_B_947"," ランクをあけ゛て\"
"STR_B_957"," ハ゛ク゛をあつめて"
"STR_B_96B"," ハ゛ク゛リストを\"
"STR_B_97B"," かんせいさせることて゛"
"STR_B_991"," おまえは さいきょうの"
"STR_B_9A3"," ハッカ-になれるんた゛"
"STR_B_9B9"," か゛んは゛れよ!\"
"STR_B_9C9"," [bvm_7f]!」"
"STR_B_9ED","ちちおや\"
"STR_B_9F8","「[bvm_7f]!"
"STR_B_A05"," わたしの たのみを\"
"STR_B_A16"," きいてくれ!」"
"STR_C_87","ははおや\"
"STR_C_92","「あさよ、"
"STR_C_A1"," おきなさい!」"
"STR_C_CC","ははおや\"
"STR_C_D7","「いつまて゛"
"STR_C_E7"," ねてるつもりなの?"
"STR_C_FB"," か゛っこう、\"
"STR_C_109"," ちこくしちゃうわよ」"
"STR_D_6C","ユイ\"
"STR_D_75","「おはよう!"
"STR_D_85"," ねえねえ、\"
"STR_D_92"," インタ-ネットを"
"STR_D_A5"," はし゛めたんた゛って?"
"STR_D_BB"," これ、わたしの\"
"STR_D_CA"," メ-ルアト゛レスよ"
"STR_D_F3","[bvm_7f]は\"
"STR_D_FC","ユイと"
"STR_D_109","メ-ルアト゛レスを\"
"STR_D_119","こうかんした"
"STR_D_13E","ユイ\"
"STR_D_147","「なにかあったら"
"STR_D_159"," メ-ルするね"
"STR_D_16A"," きょうは\"
"STR_D_176"," にっちょくた゛から"
"STR_D_18A"," さきにか゛っこうへ\"
"STR_D_19B"," いってるね。"
"STR_D_1AC"," し゛ゃあね」"
"STR_D_1E5","し゛ゅき゛ょうか゛はし゛まる\"
"STR_D_1FA","チャイムか゛なった。"
"STR_D_20E","キ゛リキ゛リし゛かんに\"
"STR_D_220","まにあったようた゛。"
"STR_E_74","せんせい\"
"STR_E_7F","「おはよう。"
"STR_E_8F"," か゛っこうを\"
"STR_E_9D"," かんりしている"
"STR_E_AF"," コンヒ゜ュ-タ-か゛\"
"STR_E_C1"," おかしくなってしまって"
"STR_E_D7"," か゛っこうに\"
"STR_E_E5"," はいれないの。"
"STR_E_F7"," いまカ゛-テ゛ィアンの"
"STR_E_109"," ひとにれんらくしたから"
"STR_E_11F"," もうすく゛\"
"STR_E_12C"," はいれるようになるわ。"
"STR_E_142"," ちょっと\"
"STR_E_14E"," まっててね。"
"STR_E_15F"," あ、きょうしつに\"
"STR_E_16F"," はいれないからって"
"STR_E_183"," か゛っこうからて゛ちゃ"
"STR_E_195"," た゛めよ」"
"STR_E_22E","ユイ\"
"STR_E_237","「ねえねえ、"
"STR_E_247"," カ゛-テ゛ィアンって\"
